username,waktu,teks_komentar,jumlah_likes,sumber_video,case_folding,komentar_final,bigrams
@ARDI2744,2 years ago,"Bagus banget, tapi gk tau kenapa udah terlanjur jatuh cinta sama honda city.",0,https://youtube.com/watch?v=FDU3zV2_n04,"bagus banget, tapi gk tau kenapa udah terlanjur jatuh cinta sama honda city.","['bagus', 'banget', 'tau', 'udah', 'lanjur', 'jatuh', 'cinta', 'sama', 'honda', 'city']","[('bagus', 'banget'), ('banget', 'tau'), ('tau', 'udah'), ('udah', 'lanjur'), ('lanjur', 'jatuh'), ('jatuh', 'cinta'), ('cinta', 'sama'), ('sama', 'honda'), ('honda', 'city')]"
@elnino-og9gi,2 years ago,"Ada 1 versi lagi habis versi 3 om, entah itu facelift atau beda versi. Tapi yg jelas mesin udh NR",0,https://youtube.com/watch?v=FDU3zV2_n04,"ada 1 versi lagi habis versi 3 om, entah itu facelift atau beda versi. tapi yg jelas mesin udh nr","['versi', 'habis', 'versi', 'entah', 'facelift', 'beda', 'versi', 'jelas', 'mesin', 'udh']","[('versi', 'habis'), ('habis', 'versi'), ('versi', 'entah'), ('entah', 'facelift'), ('facelift', 'beda'), ('beda', 'versi'), ('versi', 'jelas'), ('jelas', 'mesin'), ('mesin', 'udh')]"
@andreairfanaziz3214,2 years ago,Belakang dah mirip bmw seri 7 aja nih,0,https://youtube.com/watch?v=FDU3zV2_n04,belakang dah mirip bmw seri 7 aja nih,"['belakang', 'dah', 'mirip', 'bmw', 'seri']","[('belakang', 'dah'), ('dah', 'mirip'), ('mirip', 'bmw'), ('bmw', 'seri')]"
@kangbaharudinmlp,2 years ago,Bukannya yang sekarang generasi 6 om ??,0,https://youtube.com/watch?v=FDU3zV2_n04,bukannya yang sekarang generasi 6 om ??,"['bukan', 'sekarang', 'generasi']","[('bukan', 'sekarang'), ('sekarang', 'generasi')]"
@masadam9270,2 years ago,Menyelenyeh apa om,0,https://youtube.com/watch?v=FDU3zV2_n04,menyelenyeh apa om,"['lenyeh', 'apa']","[('lenyeh', 'apa')]"
@fajri2856,2 years ago,"Yok tantan para modifika 
Suru modif vios ini jadi tampilan  spord car",0,https://youtube.com/watch?v=FDU3zV2_n04,"yok tantan para modifika 
suru modif vios ini jadi tampilan  spord car","['yok', 'tantan', 'modifika', 'suru', 'modif', 'vios', 'jadi', 'tampil', 'spord', 'car']","[('yok', 'tantan'), ('tantan', 'modifika'), ('modifika', 'suru'), ('suru', 'modif'), ('modif', 'vios'), ('vios', 'jadi'), ('jadi', 'tampil'), ('tampil', 'spord'), ('spord', 'car')]"
@Sky7Folds,2 years ago,"Saya pemakai Vios gen1 tahun 2003.
Saya pake sesuai fungsinya angkut2 barang dan penumpang (keluarga)
Apakah gengsi make mobil tua??
TENTU TIDAK disesuaikan fungsinya saja.",0,https://youtube.com/watch?v=FDU3zV2_n04,"saya pemakai vios gen1 tahun 2003.
saya pake sesuai fungsinya angkut2 barang dan penumpang (keluarga)
apakah gengsi make mobil tua??
tentu tidak disesuaikan fungsinya saja.","['pakai', 'vios', 'gen', 'tahun', 'pake', 'sesuai', 'fungsi', 'angkut', 'barang', 'tumpang', 'keluarga', 'gengsi', 'make', 'mobil', 'tua', 'tidak', 'sesuai', 'fungsi']","[('pakai', 'vios'), ('vios', 'gen'), ('gen', 'tahun'), ('tahun', 'pake'), ('pake', 'sesuai'), ('sesuai', 'fungsi'), ('fungsi', 'angkut'), ('angkut', 'barang'), ('barang', 'tumpang'), ('tumpang', 'keluarga'), ('keluarga', 'gengsi'), ('gengsi', 'make'), ('make', 'mobil'), ('mobil', 'tua'), ('tua', 'tidak'), ('tidak', 'sesuai'), ('sesuai', 'fungsi')]"
@Onedaytrip_03,2 years ago,Sayang sudah tidak diproduksi di Indonesia lagi,0,https://youtube.com/watch?v=FDU3zV2_n04,sayang sudah tidak diproduksi di indonesia lagi,"['sayang', 'tidak', 'produksi', 'indonesia']","[('sayang', 'tidak'), ('tidak', 'produksi'), ('produksi', 'indonesia')]"
@YATSUP,2 years ago,ga ah. yg penting info nya lengkap.,0,https://youtube.com/watch?v=FDU3zV2_n04,ga ah. yg penting info nya lengkap.,"['penting', 'info', 'lengkap']","[('penting', 'info'), ('info', 'lengkap')]"
@redipustaka3222,2 years ago,Udah bagus gini masih ada aja yg malu pake. Cuma gegara cap mobil taksi. Pola pikir yg nyeleneh,0,https://youtube.com/watch?v=FDU3zV2_n04,udah bagus gini masih ada aja yg malu pake. cuma gegara cap mobil taksi. pola pikir yg nyeleneh,"['udah', 'bagus', 'gin', 'malu', 'pake', 'cuma', 'gegara', 'cap', 'mobil', 'taksi', 'pola', 'pikir', 'nyeleneh']","[('udah', 'bagus'), ('bagus', 'gin'), ('gin', 'malu'), ('malu', 'pake'), ('pake', 'cuma'), ('cuma', 'gegara'), ('gegara', 'cap'), ('cap', 'mobil'), ('mobil', 'taksi'), ('taksi', 'pola'), ('pola', 'pikir'), ('pikir', 'nyeleneh')]"
